comparison	method	gene_id	fold0_p_value	fold1_p_value	conjunction_p_value	conjunction_q_value	shared_block_tests
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000039087	0.4897711746604012	1.6534888028231285e-27	0.4897711746604012	0.6652801697075619	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000039218	1.0440113442131191e-18	2.1471505586600323e-14	2.1471505586600323e-14	2.989494239365122e-13	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000039262	0.0006412598721017	0.0019659972723662	0.0019659972723662	0.0068104403119288465	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000039579	2.8459047909340613e-06	0.0147317194451735	0.0147317194451735	0.04055423908100994	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000039585	1.9433069347793733e-07	9.042634821654422e-08	1.9433069347793733e-07	1.3149104867105292e-06	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000039671	2.09980102581746e-05	1.0008332777438585e-06	2.09980102581746e-05	0.00010557332935360008	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000039686	0.0179488778029515	0.0102120304483447	0.0179488778029515	0.04742696178590104	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000039701	6.210766135495146e-17	0.871504170737814	0.871504170737814	0.9462069169064129	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000039735	0.0214577054867643	0.1599957969294054	0.1599957969294054	0.28815163427086943	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000039782	0.0071259711149589	0.0648682493728385	0.0648682493728385	0.13692306864704104	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000039842	0.0032093954697751	6.430966198949162e-08	0.0032093954697751	0.01046667711764492	948
