test_id	null_type	replicates	observed_statistic	empirical_p_value	observed_mixture_log_bayes_factor	empirical_bf_p_value
ENSMUSG00000025270.14:B1	label_permutation	32	0.0	1.0	-1.376676550535194e-13	1.0
ENSMUSG00000025270.14:B1	wild_cluster	32	0.0	1.0	-1.376676550535194e-13	1.0
ENSMUSG00000025272.17:B2	label_permutation	32	0.0	1.0	-6.661338147750939e-16	1.0
ENSMUSG00000025272.17:B2	wild_cluster	32	0.0	1.0	-6.661338147750939e-16	1.0
ENSMUSG00000025277.15:B1	label_permutation	32	1.0394898516979083	0.45454545454545453	-0.8420867388440613	0.15151515151515152
ENSMUSG00000025277.15:B1	wild_cluster	32	1.0394898516979083	0.18181818181818182	-0.8420867388440613	0.2727272727272727
ENSMUSG00000025290.18:B1	label_permutation	32	1.883129027106236	0.7878787878787878	-0.9423088233823932	0.8787878787878788
ENSMUSG00000025290.18:B1	wild_cluster	32	1.883129027106236	0.7575757575757576	-0.9423088233823932	0.7878787878787878
ENSMUSG00000025314.18:B1	label_permutation	32	1.8375213130639168e-05	0.30303030303030304	-3.712161045221762e-08	0.15151515151515152
ENSMUSG00000025314.18:B1	wild_cluster	32	1.8375213130639168e-05	0.030303030303030304	-3.712161045221762e-08	1.0
ENSMUSG00000025323.11:B1	label_permutation	32	0.3605221677272539	0.6666666666666666	-0.177766170584156	0.6666666666666666
ENSMUSG00000025323.11:B1	wild_cluster	32	0.3605221677272539	0.7878787878787878	-0.177766170584156	0.7878787878787878
ENSMUSG00000025326.13:B1	label_permutation	32	13.004402814715831	0.15151515151515152	-1.1540083224117426	0.030303030303030304
ENSMUSG00000025326.13:B1	wild_cluster	32	13.004402814715831	0.21212121212121213	-1.1540083224117426	0.15151515151515152
ENSMUSG00000025332.15:B1	label_permutation	32	0.6787100365709193	0.30303030303030304	-0.2861452349493614	0.7272727272727273
ENSMUSG00000025332.15:B1	wild_cluster	32	0.6787100365709193	0.030303030303030304	-0.2861452349493614	0.12121212121212122
ENSMUSG00000025340.15:B1	label_permutation	32	0.0006614197707222	0.9393939393939394	-1.8334051856694344e-06	0.09090909090909091
ENSMUSG00000025340.15:B1	wild_cluster	32	0.0006614197707222	0.06060606060606061	-1.8334051856694344e-06	0.12121212121212122
ENSMUSG00000025369.16:B1	label_permutation	32	24.482101333838727	0.030303030303030304	3.1481595939596048	0.030303030303030304
ENSMUSG00000025369.16:B1	wild_cluster	32	24.482101333838727	0.030303030303030304	3.1481595939596048	0.030303030303030304
ENSMUSG00000025372.17:B1	label_permutation	32	0.0001047006580847	0.3939393939393939	-1.4830238459495606e-07	0.030303030303030304
ENSMUSG00000025372.17:B1	wild_cluster	32	0.0001047006580847	0.030303030303030304	-1.4830238459495606e-07	0.030303030303030304
ENSMUSG00000025372.17:B2	label_permutation	32	24.498312599816472	0.06060606060606061	2.3639534345745536	0.030303030303030304
ENSMUSG00000025372.17:B2	wild_cluster	32	24.498312599816472	0.030303030303030304	2.3639534345745536	0.030303030303030304
ENSMUSG00000025375.16:B1	label_permutation	32	23.970470254448852	0.15151515151515152	0.5232459029983234	0.06060606060606061
ENSMUSG00000025375.16:B1	wild_cluster	32	23.970470254448852	0.06060606060606061	0.5232459029983234	0.06060606060606061
ENSMUSG00000025375.16:B2	label_permutation	32	8.814665181299915	0.3333333333333333	-0.0803606693814333	0.30303030303030304
ENSMUSG00000025375.16:B2	wild_cluster	32	8.814665181299915	0.06060606060606061	-0.0803606693814333	0.09090909090909091
ENSMUSG00000025404.16:B1	label_permutation	32	60.29318792705567	0.7272727272727273	10.650483262925457	0.5151515151515151
ENSMUSG00000025404.16:B1	wild_cluster	32	60.29318792705567	0.06060606060606061	10.650483262925457	0.06060606060606061
ENSMUSG00000025404.16:B2	label_permutation	32	5.804908717446324	0.9393939393939394	-1.653248563591708	0.8181818181818182
ENSMUSG00000025404.16:B2	wild_cluster	32	5.804908717446324	0.7575757575757576	-1.653248563591708	0.7878787878787878
