subject	cell_type	primer	cells
D_3	INH_medium_spiny	random hexamer	74
D_3	INH_midbrain	poly(dT)	54
D_3	INH_midbrain	random hexamer	50
D_3	INH_migrating_interneuron	poly(dT)	74
D_3	INH_migrating_interneuron	random hexamer	50
D_3	ODC	poly(dT)	92
D_3	ODC	random hexamer	106
D_4	ASC	poly(dT)	64
D_4	ASC	random hexamer	60
D_4	EX_cerebellum_granule	poly(dT)	28
D_4	EX_cerebellum_granule	random hexamer	22
D_4	EX_cortical	poly(dT)	298
D_4	EX_cortical	random hexamer	276
D_4	EX_hippocampus_granule	poly(dT)	24
D_4	EX_hippocampus_granule	random hexamer	12
D_4	EX_hippocampus_pyramidal	poly(dT)	12
D_4	EX_hippocampus_pyramidal	random hexamer	22
D_4	EX_thalamus	poly(dT)	2
D_4	EX_thalamus	random hexamer	12
D_4	INH_medium_spiny	poly(dT)	76
D_4	INH_medium_spiny	random hexamer	82
D_4	INH_midbrain	poly(dT)	88
D_4	INH_midbrain	random hexamer	72
D_4	INH_migrating_interneuron	poly(dT)	168
D_4	INH_migrating_interneuron	random hexamer	166
D_4	ODC	poly(dT)	46
D_4	ODC	random hexamer	24
D_5	ASC	poly(dT)	20
D_5	ASC	random hexamer	44
D_5	EX_cerebellum_granule	poly(dT)	10
D_5	EX_cerebellum_granule	random hexamer	8
D_5	EX_cortical	poly(dT)	238
D_5	EX_cortical	random hexamer	260
D_5	EX_hippocampus_granule	poly(dT)	10
D_5	EX_hippocampus_granule	random hexamer	2
D_5	EX_hippocampus_pyramidal	poly(dT)	24
D_5	EX_hippocampus_pyramidal	random hexamer	12
D_5	EX_thalamus	poly(dT)	8
D_5	EX_thalamus	random hexamer	14
D_5	INH_medium_spiny	poly(dT)	50
D_5	INH_medium_spiny	random hexamer	74
D_5	INH_midbrain	poly(dT)	66
D_5	INH_midbrain	random hexamer	56
D_5	INH_migrating_interneuron	poly(dT)	130
D_5	INH_migrating_interneuron	random hexamer	126
D_5	ODC	poly(dT)	22
D_5	ODC	random hexamer	26
D_6	ASC	poly(dT)	132
D_6	ASC	random hexamer	140
D_6	EX_cerebellum_granule	poly(dT)	260
D_6	EX_cerebellum_granule	random hexamer	336
D_6	EX_cortical	poly(dT)	740
D_6	EX_cortical	random hexamer	732
D_6	EX_hippocampus_granule	poly(dT)	96
D_6	EX_hippocampus_granule	random hexamer	74
D_6	EX_hippocampus_pyramidal	poly(dT)	60
D_6	EX_hippocampus_pyramidal	random hexamer	68
D_6	EX_thalamus	poly(dT)	70
D_6	EX_thalamus	random hexamer	48
D_6	INH_medium_spiny	poly(dT)	182
D_6	INH_medium_spiny	random hexamer	144
D_6	INH_midbrain	poly(dT)	198
D_6	INH_midbrain	random hexamer	214
D_6	INH_migrating_interneuron	poly(dT)	136
D_6	INH_migrating_interneuron	random hexamer	140
D_6	ODC	poly(dT)	156
D_6	ODC	random hexamer	114
D_7	ASC	poly(dT)	18
D_7	ASC	random hexamer	14
D_7	EX_cerebellum_granule	poly(dT)	16
D_7	EX_cerebellum_granule	random hexamer	16
D_7	EX_cortical	poly(dT)	142
D_7	EX_cortical	random hexamer	140
D_7	EX_hippocampus_granule	poly(dT)	16
D_7	EX_hippocampus_granule	random hexamer	18
D_7	EX_hippocampus_pyramidal	poly(dT)	16
D_7	EX_hippocampus_pyramidal	random hexamer	26
D_7	EX_thalamus	poly(dT)	14
D_7	EX_thalamus	random hexamer	4
D_7	INH_medium_spiny	poly(dT)	42
D_7	INH_medium_spiny	random hexamer	42
D_7	INH_midbrain	poly(dT)	48
D_7	INH_midbrain	random hexamer	60
D_7	INH_migrating_interneuron	poly(dT)	30
D_7	INH_migrating_interneuron	random hexamer	34
D_7	ODC	poly(dT)	30
D_7	ODC	random hexamer	30
D_8	ASC	poly(dT)	42
D_8	ASC	random hexamer	38
D_8	EX_cerebellum_granule	poly(dT)	24
D_8	EX_cerebellum_granule	random hexamer	28
D_8	EX_cortical	poly(dT)	318
D_8	EX_cortical	random hexamer	332
D_8	EX_hippocampus_granule	poly(dT)	36
D_8	EX_hippocampus_granule	random hexamer	22
D_8	EX_hippocampus_pyramidal	poly(dT)	30
D_8	EX_hippocampus_pyramidal	random hexamer	32
D_8	EX_thalamus	poly(dT)	18
D_8	EX_thalamus	random hexamer	32
D_8	INH_medium_spiny	poly(dT)	86
D_8	INH_medium_spiny	random hexamer	86
D_8	INH_midbrain	poly(dT)	120
D_8	INH_midbrain	random hexamer	104
D_8	INH_migrating_interneuron	poly(dT)	242
D_8	INH_migrating_interneuron	random hexamer	208
D_8	ODC	poly(dT)	48
D_8	ODC	random hexamer	66
E_1	ASC	poly(dT)	78
E_1	ASC	random hexamer	70
E_1	EX_cerebellum_granule	poly(dT)	60
E_1	EX_cerebellum_granule	random hexamer	52
E_1	EX_cortical	poly(dT)	460
E_1	EX_cortical	random hexamer	452
