event	subject	cell_type	primer	spliced_umis
Agtpbp1	F_5	EX_hippocampus_granule	random hexamer	5
Agtpbp1	F_5	EX_hippocampus_pyramidal	poly(dT)	1
Agtpbp1	F_5	EX_hippocampus_pyramidal	random hexamer	2
Agtpbp1	F_5	EX_thalamus	poly(dT)	3
Agtpbp1	F_5	INH_medium_spiny	poly(dT)	4
Agtpbp1	F_5	INH_medium_spiny	random hexamer	5
Agtpbp1	F_5	INH_midbrain	poly(dT)	10
Agtpbp1	F_5	INH_midbrain	random hexamer	11
Agtpbp1	F_5	INH_migrating_interneuron	poly(dT)	1
Agtpbp1	F_5	INH_migrating_interneuron	random hexamer	8
Agtpbp1	F_5	ODC	poly(dT)	2
Agtpbp1	F_5	ODC	random hexamer	2
Agtpbp1	F_6	ASC	poly(dT)	1
Agtpbp1	F_6	ASC	random hexamer	5
Agtpbp1	F_6	EX_cerebellum_granule	poly(dT)	3
Agtpbp1	F_6	EX_cortical	poly(dT)	6
Agtpbp1	F_6	EX_cortical	random hexamer	21
Agtpbp1	F_6	EX_hippocampus_pyramidal	poly(dT)	3
Agtpbp1	F_6	EX_hippocampus_pyramidal	random hexamer	2
Agtpbp1	F_6	EX_thalamus	random hexamer	2
Agtpbp1	F_6	INH_medium_spiny	poly(dT)	3
Agtpbp1	F_6	INH_medium_spiny	random hexamer	2
Agtpbp1	F_7	ASC	poly(dT)	7
Agtpbp1	F_7	ASC	random hexamer	3
Agtpbp1	F_7	EX_cerebellum_granule	poly(dT)	17
Agtpbp1	F_7	EX_cerebellum_granule	random hexamer	29
Agtpbp1	F_7	EX_cortical	poly(dT)	15
Agtpbp1	F_7	EX_cortical	random hexamer	25
Agtpbp1	F_7	EX_hippocampus_granule	poly(dT)	1
Agtpbp1	F_7	EX_hippocampus_granule	random hexamer	2
Agtpbp1	F_7	EX_hippocampus_pyramidal	poly(dT)	3
Agtpbp1	F_7	EX_hippocampus_pyramidal	random hexamer	5
Agtpbp1	F_7	EX_thalamus	poly(dT)	2
Agtpbp1	F_7	EX_thalamus	random hexamer	4
Agtpbp1	F_7	INH_medium_spiny	poly(dT)	4
Agtpbp1	F_7	INH_medium_spiny	random hexamer	7
Agtpbp1	F_7	INH_midbrain	poly(dT)	2
Agtpbp1	F_7	INH_midbrain	random hexamer	4
Agtpbp1	F_7	INH_migrating_interneuron	poly(dT)	11
Agtpbp1	F_7	INH_migrating_interneuron	random hexamer	10
Agtpbp1	F_7	ODC	poly(dT)	5
Agtpbp1	F_7	ODC	random hexamer	2
Agtpbp1	F_8	EX_cortical	poly(dT)	3
Agtpbp1	F_8	INH_medium_spiny	poly(dT)	2
Agtpbp1	F_8	INH_migrating_interneuron	random hexamer	1
Dlg4	A_1	ASC	poly(dT)	4
Dlg4	A_1	ASC	random hexamer	8
Dlg4	A_1	EX_cerebellum_granule	poly(dT)	16
Dlg4	A_1	EX_cerebellum_granule	random hexamer	12
Dlg4	A_1	EX_cortical	poly(dT)	9
Dlg4	A_1	EX_cortical	random hexamer	4
Dlg4	A_1	EX_hippocampus_granule	poly(dT)	5
Dlg4	A_1	EX_hippocampus_granule	random hexamer	1
Dlg4	A_1	EX_hippocampus_pyramidal	poly(dT)	2
Dlg4	A_1	INH_medium_spiny	poly(dT)	2
Dlg4	A_1	INH_medium_spiny	random hexamer	4
Dlg4	A_1	INH_midbrain	random hexamer	2
Dlg4	A_1	INH_migrating_interneuron	poly(dT)	1
Dlg4	A_1	INH_migrating_interneuron	random hexamer	3
Dlg4	A_1	ODC	random hexamer	3
Dlg4	A_2	ASC	poly(dT)	1
Dlg4	A_2	ASC	random hexamer	4
Dlg4	A_2	EX_cerebellum_granule	poly(dT)	11
Dlg4	A_2	EX_cerebellum_granule	random hexamer	3
Dlg4	A_2	EX_cortical	poly(dT)	22
Dlg4	A_2	EX_cortical	random hexamer	16
Dlg4	A_2	EX_hippocampus_granule	random hexamer	5
Dlg4	A_2	EX_hippocampus_pyramidal	poly(dT)	1
Dlg4	A_2	EX_hippocampus_pyramidal	random hexamer	2
Dlg4	A_2	EX_thalamus	random hexamer	3
Dlg4	A_2	INH_medium_spiny	poly(dT)	3
Dlg4	A_2	INH_medium_spiny	random hexamer	2
Dlg4	A_2	INH_midbrain	random hexamer	6
Dlg4	A_2	INH_migrating_interneuron	poly(dT)	9
