test_id	feature_type	primer	n_features	rank_correlation
ENSMUSG00000027993.17:B1	junction	random hexamer	1	0.35355339059327373
ENSMUSG00000028059.17:B1	exon	random hexamer	3	0.16666666666666666
ENSMUSG00000028059.17:B1	junction	random hexamer	2	0.5
ENSMUSG00000028086.16:B2	exon	poly(dT)	1	0.7999999999999999
ENSMUSG00000028137.10:B1	exon	random hexamer	3	-0.06666666666666665
ENSMUSG00000028137.10:B1	junction	random hexamer	1	-1.0
ENSMUSG00000028137.10:B3	exon	random hexamer	1	0.7999999999999999
ENSMUSG00000028137.10:B3	junction	random hexamer	2	0.15
ENSMUSG00000028137.10:B5	exon	random hexamer	1	0.5
ENSMUSG00000028161.18:B1	exon	random hexamer	1	-0.28571428571428575
ENSMUSG00000028176.14:B1	exon	random hexamer	1	-0.39999999999999997
ENSMUSG00000028248.16:B1	exon	poly(dT)	1	0.19999999999999998
ENSMUSG00000028248.16:B1	exon	random hexamer	1	-0.07142857142857144
ENSMUSG00000028399.19:B1	exon	random hexamer	11	0.5454545454545454
ENSMUSG00000028399.19:B1	junction	random hexamer	11	0.7727272727272727
ENSMUSG00000028399.19:B3	exon	random hexamer	1	0.7999999999999999
ENSMUSG00000028399.19:B3	junction	random hexamer	3	0.6193996299157204
ENSMUSG00000028399.19:B5	exon	poly(dT)	1	0.39999999999999997
ENSMUSG00000028434.13:B1	exon	random hexamer	12	0.625
ENSMUSG00000028434.13:B1	junction	random hexamer	11	0.18181818181818182
ENSMUSG00000028528.18:B1	exon	random hexamer	5	0.039999999999999994
ENSMUSG00000028528.18:B1	junction	random hexamer	4	0.18545027756320973
ENSMUSG00000028649.23:B3	exon	poly(dT)	5	0.6199999999999999
ENSMUSG00000028649.23:B3	exon	random hexamer	5	0.8285714285714286
ENSMUSG00000028649.23:B3	junction	poly(dT)	7	0.44429851872940923
ENSMUSG00000028649.23:B3	junction	random hexamer	7	0.6484173219318292
ENSMUSG00000028657.15:B1	exon	poly(dT)	2	0.0
ENSMUSG00000028760.17:B1	exon	random hexamer	1	-0.09999999999999999
ENSMUSG00000028760.17:B3	exon	random hexamer	1	-0.39999999999999997
ENSMUSG00000028760.17:B3	junction	random hexamer	3	-0.0666666666666667
ENSMUSG00000028782.15:B1	exon	random hexamer	3	0.06666666666666667
ENSMUSG00000028782.15:B1	junction	random hexamer	1	-0.39999999999999997
ENSMUSG00000028782.15:B4	exon	random hexamer	2	0.14285714285714288
ENSMUSG00000028782.15:B4	junction	random hexamer	1	0.48571428571428577
ENSMUSG00000028785.14:B1	exon	poly(dT)	2	1.0
ENSMUSG00000028785.14:B1	exon	random hexamer	3	0.8333333333333334
ENSMUSG00000028785.14:B1	junction	poly(dT)	1	0.5
ENSMUSG00000028785.14:B1	junction	random hexamer	3	0.5
ENSMUSG00000028809.17:B1	exon	poly(dT)	1	-0.19999999999999998
ENSMUSG00000028809.17:B1	exon	random hexamer	1	-0.3
ENSMUSG00000028809.17:B2	exon	poly(dT)	1	0.0
ENSMUSG00000028809.17:B2	exon	random hexamer	1	-0.09999999999999999
ENSMUSG00000028809.17:B2	junction	poly(dT)	2	0.5873397172404482
ENSMUSG00000028809.17:B2	junction	random hexamer	2	-0.1
